id,titulo,resumo,data_publicacao,url,pagina,coletado_em,seletor_usado
b03a57423185,Como a comunicação digital transforma a experiência do consumidor,"Painéis de LED, totens, telas e soluções inteligentes ampliam as possibilidades de comunicação em lojas, empresas, eventos e ambientes corporativos.",2026-09-08T19:52:46.750Z,https://g1.globo.com/am/amazonas/especial-publicitario/amazon-copy/noticia/2026/09/08/como-a-comunicacao-digital-transforma-a-experiencia-do-consumidor.ghtml,1,2026-09-12T13:14:59,api:busca.globo.com/v1/search
4146f37069cb,Por que o Brasil multou o TikTok e suspendeu lives do Discord? Entenda a diferença entre os casos,"ANPD aplicou multa de R$ 153,7 milhões ao TikTok após identificar cinco infrações à LGPD; no Discord, agência adotou medida preventiva e suspendeu transmissões ao vivo para reduzir riscos a crianças e adolescentes.",2026-08-25T12:29:25.987Z,https://g1.globo.com/tecnologia/noticia/2026/08/25/por-que-a-anpd-multou-o-tiktok-e-suspendeu-lives-do-discord-entenda-a-diferenca-entre-os-casos.ghtml,1,2026-09-12T13:14:59,api:busca.globo.com/v1/search
130acef43a62,Novos médicos cooperados concluem curso de formação,O curso capacitou 8 novos médicos de várias especialidades.,2026-09-04T21:18:20.181Z,https://g1.globo.com/pe/petrolina-regiao/especial-publicitario/unimed-vale-do-sao-francisco-o-cuidado-esta-em-tudo/noticia/2026/09/04/novos-medicos-cooperados-concluem-curso-de-formacao.ghtml,1,2026-09-12T13:14:59,api:busca.globo.com/v1/search
9c29420ddbfc,Santarém lança canal digital para denúncias e reclamações sobre o SUS,Plataforma foi desenvolvida por estudantes de Medicina e permite que usuários encaminhem demandas ao Conselho Municipal de Saúde pelo celular.,2026-09-04T20:33:29.771Z,https://g1.globo.com/pa/santarem-regiao/noticia/2026/09/04/santarem-lanca-canal-digital-para-denuncias-e-reclamacoes-sobre-o-sus.ghtml,1,2026-09-12T13:14:59,api:busca.globo.com/v1/search
afd19f80593b,Governo lança medidas para padronizar uso de biometria em portos e aeroportos,Diretrizes anunciadas pelo Ministério de Portos e Aeroportos incluem integração de sistemas e adoção de tecnologias para agilizar embarques. Reforço da segurança é uma das metas.,2026-08-31T17:30:11.675Z,https://g1.globo.com/economia/noticia/2026/08/31/governo-quer-padronizar-uso-de-biometria-em-portos-e-aeroportos.ghtml,1,2026-09-12T13:14:59,api:busca.globo.com/v1/search
224e2659169c,TikTok leva multa inédita no Brasil: o que causou a decisão? E o que muda? Veja perguntas e respostas,"Rede social foi multada em R$ 153,7 milhões por violar regras de tratamento de dados de crianças e adolescentes. Agência determinou que a empresa apresente medidas para reforçar a proteção de menores de idade.",2026-08-26T03:00:46.119Z,https://g1.globo.com/tecnologia/noticia/2026/08/26/tiktok-leva-multa-inedita-no-brasil-o-que-causou-a-decisao-e-o-que-muda-veja-perguntas-e-respostas.ghtml,1,2026-09-12T13:14:59,api:busca.globo.com/v1/search
7da00dede79d,Gilmar Mendes critica vazamento de conversas privadas de Vorcaro e ex-namorada e defende 'LGPD Penal',"Segundo o ministro, expor esse tipo de material representa “uma demonstração de barbárie institucional” e ultrapassa “todos os limites impostos pelas leis e pela Constituição"".",2026-03-09T19:04:08.099Z,https://g1.globo.com/politica/noticia/2026/03/09/gilmar-mendes-critica-vazamento-de-conversas-privadas-de-vorcaro-e-ex-namorada-e-defende-lgpd-penal.ghtml,1,2026-09-12T13:14:59,api:busca.globo.com/v1/search
62ffc008fee2,Câmera escondida no banheiro do trabalho: o que diz a lei e como denunciar,Caso em Minas Gerais acendeu o alerta sobre o tema. Especialistas explicam a diferença entre assédio ou importunação sexual e registro não autorizado da intimidade.,2026-09-05T06:00:00.395Z,https://g1.globo.com/trabalho-e-carreira/noticia/2026/09/05/camera-escondida-no-banheiro-do-trabalho-o-que-diz-a-lei-e-como-denunciar.ghtml,1,2026-09-12T13:14:59,api:busca.globo.com/v1/search
afcb80bba453,"ANPD multa TikTok em R$ 153,7 milhões por falhas na proteção de menores",Agência diz que rede social tratou dados de crianças e adolescentes sem respaldo legal; ByteDance também terá de adotar medidas para ampliar a proteção desse público,2026-08-25T10:04:00.869Z,https://g1.globo.com/tecnologia/noticia/2026/08/25/anpd-multa-tiktok-por-falhas-na-protecao-de-menores.ghtml,1,2026-09-12T13:14:59,api:busca.globo.com/v1/search
1d4934968991,Homem-Aranha na BMW abre discussão: montadoras podem colocar propaganda na tela do carro?,"Publicidade em telas de carros conectados pode ser permitida, mas no Brasil há limites para uso de dados, informação ao consumidor, segurança e possibilidade de recusa.",2026-08-20T06:00:47.972Z,https://g1.globo.com/carros/noticia/2026/08/20/propaganda-na-tela-do-carro.ghtml,1,2026-09-12T13:14:59,api:busca.globo.com/v1/search
c33d81cdc3ce,Prefeitura suspende aplicativo de Zona Azul após vazamento de dados de clientes em Poços de Caldas,O Procon instaurou procedimento administrativo para investigar o incidente ocorrido em 7 de julho e verificar o cumprimento da LGPD.,2026-07-14T15:29:51.694Z,https://g1.globo.com/mg/sul-de-minas/noticia/2026/07/14/prefeitura-suspende-aplicativo-de-zona-azul-apos-vazamento-de-dados-de-clientes-em-pocos-de-caldas.ghtml,2,2026-09-12T13:15:05,api:busca.globo.com/v1/search
652a603770b4,Cadastro de agressores e campanha contra abuso infantil: conheça novas leis sancionadas em Cuiabá,"Medidas propõe a criação de um cadastro de condenados por crimes de estupro e violência doméstica, além da realização permanente de uma campanha contra o abuso sexual infantil.",2026-08-26T16:32:58.691Z,https://g1.globo.com/mt/mato-grosso/noticia/2026/08/26/cadastro-de-agressores-e-campanha-contra-abuso-infantil-conheca-novas-leis-de-cuiaba.ghtml,2,2026-09-12T13:15:05,api:busca.globo.com/v1/search
